448,SMAR,SMART Tbk,20-Nop-1992
449,SMBR,PT Semen Baturaja (Persero) Tbk,28-Jun-13
450,SMCB,Holcim Indonesia Tbk,10-Agust-1997
451,SMDM,Suryamas Dutamakmur Tbk,12-Okt-1995
452,SMDR,Samudera Indonesia Tbk,05-Des-1999
453,SMGR,Semen Indonesia (Persero) Tbk,8-Jul-91
454,SMMA,Sinar Mas Multiartha Tbk,5-Jul-95
455,SMMT,GOLDEN EAGLE ENERGY Tbk,01-Des-2007
456,SMRA,Summarecon Agung Tbk,07-Mei-1990
457,SMRU,SMR Utama Tbk,10-Okt-2011
458,SMSM,Selamat Sempurna Tbk,9-Sep-96
459,SOBI,Sorini Agro Asia Corporindo Tbk,03-Agust-1992
460,SOCI,PT Soechi Lines Tbk.,03-Des-2014
461,SONA,Sona Topas Tourism Industry Tbk,12-Jul-92
462,SPMA,Suparma Tbk,16-Nop-1994
463,SQBB,Taisho Pharmaceutical Indonesia Tbk,29-Mar-83
464,SQMI,RENUKA COALINDO Tbk,15-Jul-04
465,SRAJ,Sejahteraraya Anugrahjaya Tbk,11-Apr-11
466,SRIL,PT Sri Rejeki Isman Tbk,17-Jun-13
467,SRSN,Indo Acidatama Tbk,11-Jan-93
468,SRTG,PT Saratoga Investama Sedaya Tbk.,26-Jun-13
469,SSIA,Surya Semesta Internusa Tbk,27-Mar-97
470,SSMS,PT Sawit Sumbermas Sarana Tbk.,12-Des-2013
471,SSTM,Sunson Textile Manufacturer Tbk,20-Agust-1997
472,STAR,Star Petrcohem Tbk,13-Jul-11
473,STTP,Siantar Top Tbk,16-Des-1996
474,SUGI,Sugih Energy Tbk,19-Jun-02
475,SULI,PT SLJ Global Tbk,21-Mar-94
476,SUPR,Solusi Tunas Pratama Tbk,11-Okt-2011
477,TALF,PT Tunas Alfin Tbk,17-Jan-14
478,TARA,PT Sitara Propertindo Tbk,11-Jul-14
479,TAXI,Express Transindo Utama Tbk,02-Nop-2012
480,TBIG,PT Tower Bersama Infrastructure Tbk,26-Okt-2010
481,TBLA,Tunas Baru Lampung Tbk,14-Feb-00
482,TBMS,Tembaga Mulia Semanan Tbk,30-Sep-93
483,TCID,Mandom Indonesia Tbk,23-Sep-93
484,TELE,Tiphone Mobile Indonesia Tbk,12-Jan-12
485,TFCO,Tifico Fiber Indonesia Tbk,26-Feb-80
486,TGKA,Tigaraksa Satria Tbk,11-Jun-90
487,TIFA,Tifa Finance Tbk,8-Jul-11
488,TINS,Timah (Persero) Tbk,19-Okt-1995
489,TIRA,Tira Austenite Tbk,27-Jul-93
490,TIRT,Tirta Mahakam Resources Tbk,13-Des-1999
491,TKGA,PT Permata Prima Sakti Tbk.,6-Jan-92
492,TKIM,Pabrik Kertas Tjiwi Kimia Tbk,3-Apr-90
493,TLKM,Telekomunikasi Indonesia (Persero) Tbk,14-Nop-1995
494,TMAS,Pelayaran Tempuran Emas Tbk,9-Jul-03
495,TMPI,PT Sigmagold Inti Perkasa Tbk.,26-Jan-95
496,TMPO,Tempo Inti Media Tbk,8-Jan-01
497,TOBA,Toba Bara Sejahtra Tbk,6-Jul-12
498,TOTL,Total Bangun Persada Tbk,25-Jul-06
499,TOTO,Surya Toto Indonesia Tbk,30-Okt-1990
500,TOWR,Sarana Menara Nusantara Tbk,8-Mar-10
501,TPIA,Chandra Asri Petrochemical Tbk,26-Mei-2008
502,TPMA,Trans Power Marine Tbk,20-Feb-13
503,TRAM,Trada Maritime Tbk,10-Sep-08
504,TRIL,Triwira Insanlestari Tbk,28-Jan-08
505,TRIM,PT Trimegah Sekuritas Indonesia Tbk,31-Jan-00
506,TRIO,Trikomsel Oke Tbk,14-Apr-09
507,TRIS,Trisula International Tbk,28-Jun-12
508,TRST,Trias Sentosa Tbk,2-Jul-90
509,TRUB,Truba Alam Manunggal Engineering Tbk,16-Okt-2006
510,TRUS,Trust Finance Indonesia Tbk,28-Nop-2002
511,TSPC,Tempo Scan Pacific Tbk,17-Jun-94
512,TURI,Tunas Ridean Tbk,06-Mei-1995
513,ULTJ,Ultra Jaya Milk Industry Tbk,2-Jul-90
514,UNIC,Unggul Indah Cahaya Tbk,06-Nop-1989
515,UNIT,Nusantara Inti Corpora Tbk,18-Apr-02
516,UNSP,Bakrie Sumatera Plantations Tbk,6-Mar-90
517,UNTR,United Tractors Tbk,19-Sep-89
518,UNVR,Unilever Indonesia Tbk,11-Jan-82
519,VICO,PT Victoria Investama Tbk.,8-Jul-13
520,VINS,PT Victoria Insurance Tbk.,28-Sep-15
521,VIVA,PT Visi Media Asia Tbk,21-Nop-2011
522,VOKS,Voksel Electric Tbk,20-Des-1990
523,VRNA,Verena Multi Finance Tbk,25-Jun-08
524,WAPO,Wahana Pronatural Tbk,22-Jun-01
525,WEHA,PT WEHA Transportasi Indonesia Tbk,31-Mei-2007
526,WICO,Wicaksana Overseas International Tbk,08-Agust-1994
527,WIIM,Wismilak Inti Makmur Tbk,18-Des-2012
528,WIKA,Wijaya Karya Tbk,29-Okt-2007
529,WINS,Wintermar Offshore Marine Tbk,29-Nop-2010
530,WOMF,Wahana Ottomitra Multiartha Tbk,13-Des-2004
531,WSBP,PT Waskita Beton Precast Tbk.,20-Sep-16
532,WSKT,Waskita Karya (Persero) Tbk,19-Des-2012
533,WTON,Wijaya Karya Beton,8-Apr-14
534,YPAS,Yanaprima Hastapersada Tbk,5-Mar-08
535,YULE,Yulie Sekurindo Tbk,10-Des-2004
536,ZBRA,Zebra Nusantara Tbk,01-Agust-1991
