113,BRMS,Bumi Resources Minerals Tbk,09-Des-2010
114,BRNA,Berlina Tbk,06-Nop-1989
115,BRPT,Barito Pacific Tbk,01-Okt-1993
116,BSDE,Bumi Serpong Damai Tbk,6-Jun-08
117,BSIM,Bank Sinarmas Tbk,13-Des-2010
118,BSSR,Baramulti Suksessarana Tbk,08-Nop-2012
119,BSWD,Bank of India Indonesia Tbk,01-Mei-2002
120,BTEK,Bumi Teknokultura Unggul Tbk,14-Mei-2004
121,BTEL,Bakrie Telecom Tbk,3-Feb-06
122,BTON,Betonjaya Manunggal Tbk,18-Jul-01
123,BTPN,BANK TABUNGAN PENSIUNAN NASIONAL Tbk,12-Mar-08
124,BUDI,PT Budi Starch & Sweetener Tbk.,08-Mei-1995
125,BUKK,Bukaka Teknik Utama Tbk,29-Jun-15
126,BULL,Buana Listya Tama Tbk,23-Mei-2011
127,BUMI,Bumi Resources Tbk,30-Jul-90
128,BUVA,PT Bukit Uluwatu Villa Tbk,12-Jul-10
129,BVIC,Bank Victoria International Tbk,30-Jun-99
130,BWPT,Eagle High Plantations Tbk,27-Okt-2009
131,BYAN,Bayan Resources Tbk,12-Agust-2008
132,CANI,PT Capitol Nusantara Indonesia Tbk.,16-Jan-14
133,CASA,PT Capital Financial Indonesia Tbk,19-Jul-16
134,CASS,Cardig Aero Services Tbk,05-Des-2011
135,CEKA,PT Wilmar Cahaya Indonesia Tbk.,9-Jul-96
136,CENT,PT Centratama Telekomunikasi Indonesia Tbk.,01-Nop-2001
137,CFIN,Clipan Finance Indonesia Tbk,02-Okt-1990
138,CINT,PT Chitose Internasional Tbk,27-Jun-14
139,CITA,Cita Mineral Investindo Tbk,20-Mar-02
140,CKRA,Cakra Mineral Tbk.,19-Mei-1999
141,CLPI,Colorpak Indonesia Tbk,30-Nop-2001
142,CMNP,Citra Marga Nusaphala Persada Tbk,10-Jan-95
143,CMPP,Rimau Multi Putra Pratama,08-Des-1994
144,CNKO,Exploitasi Energi Indonesia Tbk,20-Nop-2001
145,CNTX,Centex Tbk,22-Mei-1979
146,COWL,COWELL DEVELOPMENT Tbk,19-Des-2007
147,CPGT,PT Citra Maharlika Nusantara Corpora Tbk.,9-Jul-13
148,CPIN,Charoen Pokphand Indonesia Tbk,18-Mar-91
